ticker,streak_len,streak_start,streak_end,moves
AZO,10,2026-07-10,2026-09-11,"[16.46, 23.84, 22.39, -6.55, 34.75, -15.84, -2.07, 3.75, 16.46, -2.54]"
MU,9,2026-07-10,2026-09-04,"[-12.81, -22.14, 4.92, -13.77, 3.71, 7.59, -2.54, 4.31, 10.11]"
SNDK,9,2026-07-10,2026-09-04,"[-6.5, -64.66, 7.59, -34.64, -16.77, 9.49, -7.13, 5.96, 21.26]"
STX,8,2026-07-24,2026-09-11,"[6.89, -16.9, -4.03, 2.8, -7.76, -6.17, 12.32, 2.01]"
ASML,7,2026-07-31,2026-09-11,"[-18.51, 3.24, 20.45, -3.86, -4.68, 12.49, -5.14]"
CAT,7,2026-07-10,2026-08-21,"[-3.13, -3.41, 3.41, -5.48, -2.45, -2.89, -3.25]"
AMD,6,2026-07-10,2026-08-14,"[3.11, -2.18, -3.21, -10.96, 4.72, 6.56]"
GEV,4,2026-07-10,2026-07-31,"[-7.85, 2.64, 10.49, -2.3]"
NBIS,4,2026-08-14,2026-09-04,"[4.09, -2.8, 3.18, 6.08]"
WDC,4,2026-08-14,2026-09-04,"[12.19, -7.63, -2.12, 6.51]"
